task_id,subject,grade,answer_type,difficulty,topic_area,question_image_url,reference_image_url,reference_answer,candidate_setup,candidate_answer,human_label,human_score_0_4,final_answer_correct,reasoning_correct,complete,reference_quality_issue,error_types,rationale,annotator
m0303,Mathematics,3,multiple_choice,easy,İşlemlerden Cebirsel Düşünme (Algebraic Thinking),https://yadi.sk/i/_CvGFedRIAbt6g,https://yadi.sk/i/vcVzJE-w11PF0g,B,,,,,,,,,,,
m0306,Mathematics,3,multi_answer,medium,Ölçme ve Veri (Measurement & Data),https://yadi.sk/i/MgBKGVx6B_n5JA,https://yadi.sk/i/hVbCzy7gdpk1yQ,,,,,,,,,,,,
m0307,Mathematics,3,multi_answer,hard,Sayılar ve İşlemler (Numbers & Operations),https://yadi.sk/i/qssBH3TV4mR31A,https://yadi.sk/i/q8IYa4GSLM7O8g,,,,,,,,,,,,
m0309,Mathematics,3,multi_answer,medium,Ölçme ve Veri (Measurement & Data),https://yadi.sk/i/b_8Q3dgKb2ipcQ,https://yadi.sk/i/8OrDGYfhWqOuOA,,,,,,,,,,,,
m0310,Mathematics,3,multiple_choice,easy,Nesnelerin Geometrisi (Geometry of Objects),https://yadi.sk/i/Yn9y93G_YyxOXQ,https://yadi.sk/i/MCi0-4QGPiZgdw,C,,,,,,,,,,,
m0405,Mathematics,4,multi_answer,medium,Geometri (Geometry),https://yadi.sk/i/7iltke5SgbtRYQ,https://yadi.sk/i/jpFeWSXzMxniIA,,,,,,,,,,,,
m0407,Mathematics,4,multi_answer,hard,Sayılar ve İşlemler (Numbers & Operations),https://yadi.sk/i/olGo7nX8qVkvtw,https://yadi.sk/i/jKSYMMhNVfTr3g,,,,,,,,,,,,
m0408,Mathematics,4,unknown,medium,Ölçme ve Veri (Measurement & Data),https://yadi.sk/i/Zg_TkKDnGqXxKw,https://yadi.sk/i/eBPFrPqryRfWUg,,,,,,,,,,,,
m0410,Mathematics,4,multiple_choice,easy,Geometri (Geometry),https://yadi.sk/i/upHZZrKLP-Frxg,https://yadi.sk/i/dtlhyLg4SPL_zA,A,,,,,,,,,,,
m0412,Mathematics,4,multi_answer,hard,Sayılar ve İşlemler (Numbers & Operations),https://yadi.sk/i/RFHDqGD-6Qmc_A,https://yadi.sk/i/ETc1Q8OWdemjAA,A;A;D,,,,,,,,,,,
m0505,Mathematics,5,multiple_choice,hard,Aritmetik (Arithmetic),https://yadi.sk/i/e8rNpIIHh906LA,https://yadi.sk/i/MvKCakHQtpQRMg,D,,,,,,,,,,,
m0507,Mathematics,5,multiple_choice,hard,Cebirsel Düşünme (Algebraic Thinking),https://yadi.sk/i/IuJBNc5Z8y_5xw,https://yadi.sk/i/P8knKy3YMWbufQ,A,,,,,,,,,,,
m0509,Mathematics,5,multiple_choice,medium,Geometrik Nicelikler (Geometric Quantities),https://yadi.sk/i/qwSRM-g6ytTZ5g,https://yadi.sk/i/uW4YHHKoHvLFnw,C,,,,,,,,,,,
m0510,Mathematics,5,multi_answer,hard,Cebirsel Düşünme (Algebraic Thinking),https://yadi.sk/i/eMf8kC9kbs1M-Q,https://yadi.sk/i/5T3l7E9_CEQ7KQ,,,,,,,,,,,,
m0514,Mathematics,5,multi_answer,medium,Aritmetik (Arithmetic),https://yadi.sk/i/m1mzy83sVDILCA,https://yadi.sk/i/CK0EOOKH7iy41w,,,,,,,,,,,,
m0515,Mathematics,5,multi_answer,medium,Aritmetik (Arithmetic),https://yadi.sk/i/-lt3V7VBKn0pxA,https://yadi.sk/i/c4CtnDyizd2NiQ,,,,,,,,,,,,
m0517,Mathematics,5,multi_answer,easy,Veri ve Olasılık (Data & Probability),https://yadi.sk/i/zegcw9nqnjGHhg,https://yadi.sk/i/F1rDcxt6i6sASQ,C;C,,,,,,,,,,,
m0518,Mathematics,5,multiple_choice,easy,Aritmetik (Arithmetic),https://yadi.sk/i/QuUwqhQOXpd9tA,https://yadi.sk/i/4nH0W_HELZtO_A,D,,,,,,,,,,,
m0522,Mathematics,5,multiple_choice,medium,Cebirsel Düşünme (Algebraic Thinking),https://yadi.sk/i/i8DuXkeNnqIn0g,https://yadi.sk/i/BDsIA03gNId7aQ,B,,,,,,,,,,,
m0523,Mathematics,5,numeric,easy,Veri ve Olasılık (Data & Probability),https://yadi.sk/i/bYPHj2H8zNQXoQ,https://yadi.sk/i/h6yTEg1uWlH1-Q,,,,,,,,,,,,
m0525,Mathematics,5,multiple_choice,easy,Aritmetik (Arithmetic),https://yadi.sk/i/WFHuhNzDQpuqGA,https://yadi.sk/i/g_0NsK5vZuEuFw,A,,,,,,,,,,,
m0601,Mathematics,6,multi_answer,hard,Sayılar ve İşlemler (Numbers & Operations),https://yadi.sk/i/1zzk_S25Cwg03Q,https://yadi.sk/i/k7BGP0Xu1G9BAg,,,,,,,,,,,,
m0602,Mathematics,6,multi_answer,medium,Sayılar ve İşlemler (Numbers & Operations),https://yadi.sk/i/Bx_JtqQU-WqXiA,https://yadi.sk/i/qsO1EGhopOBT2Q,C;D;D,,,,,,,,,,,
m0604,Mathematics,6,multiple_choice,medium,Veri ve Olasılık (Data & Probability),https://yadi.sk/i/6KnUn19bLMa3ug,https://yadi.sk/i/cUgiDjyqnbAwYQ,D,,,,,,,,,,,
m0605,Mathematics,6,multi_answer,medium,Sayılar ve İşlemler (Numbers & Operations),https://yadi.sk/i/OfEapND5Dfl8pw,https://yadi.sk/i/oilISvUscPxJHw,,,,,,,,,,,,
m0606,Mathematics,6,multiple_choice,hard,Sayılar ve İşlemler (Numbers & Operations),https://yadi.sk/i/JGhOBp44IqE7zA,https://yadi.sk/i/laVvhaZpbLBkRQ,D,,,,,,,,,,,
m0608,Mathematics,6,numeric,easy,Veri ve Olasılık (Data & Probability),https://yadi.sk/i/GKLbCWoC54Ecmg,https://yadi.sk/i/w1-_hiNMO4g3oQ,,,,,,,,,,,,
m0610,Mathematics,6,multi_answer,hard,Geometrik Şekiller (Geometric Shapes),https://yadi.sk/i/NVXyTYmtEHiYRA,https://yadi.sk/i/eROHoR41kOv8qQ,,,,,,,,,,,,
m0611,Mathematics,6,multiple_choice,medium,Geometrik Şekiller (Geometric Shapes),https://yadi.sk/i/bblXKtIPkIPtHA,https://yadi.sk/i/VC1kWuXcM5G4og,B,,,,,,,,,,,
m0612,Mathematics,6,numeric,medium,Geometrik Şekiller (Geometric Shapes),https://yadi.sk/i/ol-fpnX2Nab3Eg,https://yadi.sk/i/IlSvDCfD13IYTg,,,,,,,,,,,,
m0613,Mathematics,6,unknown,hard,Geometrik Şekiller (Geometric Shapes),https://yadi.sk/i/Rl1wkecHGTCjuQ,https://yadi.sk/i/t1ABfXea2Bq2qA,,,,,,,,,,,,
m0617,Mathematics,6,multiple_choice,easy,Cebirsel Düşünme (Algebraic Thinking),https://yadi.sk/i/pKDqkfuMRyvlkg,https://yadi.sk/i/jes5kIsrQ3rXUg,B,,,,,,,,,,,
m0621,Mathematics,6,multiple_choice,easy,Geometrik Şekiller (Geometric Shapes),https://yadi.sk/i/8xA1jJuHnpLriw,https://yadi.sk/i/XnHRCA4ZobVzeA,C,,,,,,,,,,,
m0623,Mathematics,6,multiple_choice,hard,Geometrik Nicelikler (Geometric Quantities),https://yadi.sk/i/Bifu7wyaeZL2GQ,https://yadi.sk/i/FhNSb0kOqA26Tg,A,,,,,,,,,,,
m0706,Mathematics,7,multiple_choice,easy,Sayılar ve İşlemler (Numbers & Operations),https://yadi.sk/i/8lL_3PDq5xDiLQ,https://yadi.sk/i/xAT5MwYvvNsApw,B,,,,,,,,,,,
m0712,Mathematics,7,multi_answer,hard,Cebir (Algebra),https://yadi.sk/i/yj1vIIlf6m4Ruw,https://yadi.sk/i/6DIy0HjGXPUhgA,,,,,,,,,,,,
m0713,Mathematics,7,open_ended,easy,Cebir (Algebra),https://yadi.sk/i/9R8dAVIg1vXREw,https://yadi.sk/i/XgdDSQqWnC1rwA,,,,,,,,,,,,
m0716,Mathematics,7,multiple_choice,medium,Cebir (Algebra),https://yadi.sk/i/Sf53X8U9OHuZCw,https://yadi.sk/i/mX75pwtekZQ_Ww,C,,,,,,,,,,,
m0722,Mathematics,7,multi_answer,hard,Geometri ve Ölçme (Geometry & Measurement),https://yadi.sk/i/LAuncmf8mF1spA,https://yadi.sk/i/k7inOG_nRXBj6g,,,,,,,,,,,,
m0724,Mathematics,7,multiple_choice,hard,Veri İşleme (Data Analysis),https://yadi.sk/i/U4zwhZ6WCp71_A,https://yadi.sk/i/tkLv3ozzh94dfA,E,,,,,,,,,,,
m0725,Mathematics,7,multiple_choice,hard,Sayılar ve İşlemler (Numbers & Operations),https://yadi.sk/i/2p2-uqG4_11GJg,https://yadi.sk/i/T3kbidXkQ7D9uQ,D,,,,,,,,,,,
m0726,Mathematics,7,multiple_choice,easy,Geometri ve Ölçme (Geometry & Measurement),https://yadi.sk/i/wnHJL956SY26jg,https://yadi.sk/i/lj-rP4pA_Q_Hrw,D,,,,,,,,,,,
m0727,Mathematics,7,multiple_choice,medium,Geometri ve Ölçme (Geometry & Measurement),https://yadi.sk/i/seq4qD_n7PFq-g,https://yadi.sk/i/uWl--uBI0aHu9A,C,,,,,,,,,,,
m0728,Mathematics,7,multi_answer,medium,Geometri ve Ölçme (Geometry & Measurement),https://yadi.sk/i/kfFw3bu7-myHPg,https://yadi.sk/i/zhVpQrFr0-dbrg,,,,,,,,,,,,
m0730,Mathematics,7,multi_answer,medium,Veri İşleme (Data Analysis),https://yadi.sk/i/aePQsEGcSd5_Tw,https://yadi.sk/i/E-jzQhQCTmTMhg,,,,,,,,,,,,
m0803,Mathematics,8,multiple_choice,easy,Sayılar (Numbers),https://yadi.sk/i/Dn9Y7btO8-2uqA,https://yadi.sk/i/hVa7U3oM236Swg,C,,,,,,,,,,,
m0806,Mathematics,8,multiple_choice,hard,Sayılar (Numbers),https://yadi.sk/i/TnDErsK4I3z5LA,https://yadi.sk/i/5gmzcRxh0eelMw,A,,,,,,,,,,,
m0813,Mathematics,8,numeric,easy,Veri ve Olasılık (Data & Probability),https://yadi.sk/i/G2-Oh0WB7JpD8A,https://yadi.sk/i/LmLxJ7Ac26VSkg,,,,,,,,,,,,
m0814,Mathematics,8,numeric,easy,Cebir (Algebra),https://yadi.sk/i/16RMOmKUniuneA,https://yadi.sk/i/oPKiTv958fCOZw,,,,,,,,,,,,
m0818,Mathematics,8,numeric,medium,Cebir (Algebra),https://yadi.sk/i/cJSQoQmoVkg5ag,https://yadi.sk/i/0CihDLwmNviHIQ,,,,,,,,,,,,
m0820,Mathematics,8,multiple_choice,hard,Cebir (Algebra),https://yadi.sk/i/a5496JnEtnQJVw,https://yadi.sk/i/7DeNIDJhx1UC5Q,A,,,,,,,,,,,
m0823,Mathematics,8,multiple_choice,medium,Geometri (Geometry),https://yadi.sk/i/hB5ZhwEnlbpHaA,https://yadi.sk/i/n0LB_05w0nmrdg,B,,,,,,,,,,,
m0831,Mathematics,8,multi_answer,medium,Sayılar (Numbers),https://yadi.sk/i/8eWwF_XLKXapOg,https://yadi.sk/i/xDfRVV7X2K3lHw,,,,,,,,,,,,
m0832,Mathematics,8,multi_answer,hard,Veri ve Olasılık (Data & Probability),https://yadi.sk/i/va0lvOAQy3ftJw,https://yadi.sk/i/OOgyr4eWB4-Qjg,,,,,,,,,,,,
m0833,Mathematics,8,open_ended,medium,Cebir (Algebra),https://yadi.sk/i/B2MQ_aGaTaLkqw,https://yadi.sk/i/dshVJ16NkVqMqA,,,,,,,,,,,,
m0834,Mathematics,8,numeric,easy,Cebir (Algebra),https://yadi.sk/i/h5n046_b3CDUXA,https://yadi.sk/i/dqwInNTcRL-bsA,,,,,,,,,,,,
m0835,Mathematics,8,multiple_choice,medium,Geometri (Geometry),https://yadi.sk/i/SYRYwIm3XIMfeQ,https://yadi.sk/i/2cn2ZjkNN0482A,C,,,,,,,,,,,
m0905,Mathematics,9,open_ended,easy,Nicelikler ve Değişimler (Quantities & Changes),https://yadi.sk/i/NimpIbiJM2fgAQ,https://yadi.sk/i/hdxgqhcd7iomSQ,,,,,,,,,,,,
m0909,Mathematics,9,multi_answer,hard,Geometrik Şekiller (Geometric Shapes),https://yadi.sk/i/MFrLIokiEkZmLA,https://yadi.sk/i/buRzBBApJi19oA,,,,,,,,,,,,
m0910,Mathematics,9,numeric,medium,Geometrik Şekiller (Geometric Shapes),https://yadi.sk/i/OMA3-F3KaTVVTg,https://yadi.sk/i/TSZMr8gdW79khA,,,,,,,,,,,,
m0911,Mathematics,9,multiple_choice,hard,Geometrik Şekiller (Geometric Shapes),https://yadi.sk/i/GQ0MpWHAj-Xt1g,https://yadi.sk/i/auyqk1r_TQwXng,C,,,,,,,,,,,
m0913,Mathematics,9,multi_answer,hard,Eşlik ve Benzerlik (Congruence & Similarity),https://yadi.sk/i/6zFvBUSRwc-8fg,https://yadi.sk/i/mmFlNAw7P00Ecg,,,,,,,,,,,,
m0914,Mathematics,9,multi_answer,medium,Geometrik Şekiller (Geometric Shapes),https://yadi.sk/i/g0pbhv7C3JIf7w,https://yadi.sk/i/-pCA5jXFgBY4Qg,,,,,,,,,,,,
m0916,Mathematics,9,multiple_choice,hard,Eşlik ve Benzerlik (Congruence & Similarity),https://yadi.sk/i/zvlbL7Dat6wZ-A,https://yadi.sk/i/hO2uEfwqO3siFw,C,,,,,,,,,,,
m0917,Mathematics,9,open_ended,medium,Algoritma ve Bilişim (Algorithms & Computing),https://yadi.sk/i/enfbp5TGNKWebQ,https://yadi.sk/i/ijLaGuiG-WkaPA,,,,,,,,,,,,
m0918,Mathematics,9,open_ended,hard,Algoritma ve Bilişim (Algorithms & Computing),https://yadi.sk/i/m4MJhs0jWWZaFw,https://yadi.sk/i/-OCF7Gev5m74ig,,,,,,,,,,,,
m0921,Mathematics,9,numeric,easy,İstatistiksel Araştırma Süreci (Statistical Research Process),https://yadi.sk/i/ausLgFwf4azDSQ,https://yadi.sk/i/DwLcywBprzKf1w,,,,,,,,,,,,
m0925,Mathematics,9,open_ended,easy,Veriden Olasılığa (From Data to Probability),https://yadi.sk/i/8XE84rFvy8-vxw,https://yadi.sk/i/_zH8BwyVXMtOyQ,,,,,,,,,,,,
m0926,Mathematics,9,numeric,medium,Veriden Olasılığa (From Data to Probability),https://yadi.sk/i/R17TAlDEtyb_yQ,https://yadi.sk/i/3txYXeObC9_Kgw,,,,,,,,,,,,
m0928,Mathematics,9,multiple_choice,medium,Veriden Olasılığa (From Data to Probability),https://yadi.sk/i/hlQRRDJKUjWb1w,https://yadi.sk/i/p8cP6hx6k6qWaQ,D,,,,,,,,,,,
m0929,Mathematics,9,multi_answer,medium,Sayılar (Numbers),https://yadi.sk/i/YSqJVsKiif2RcA,https://yadi.sk/i/K-ZZqVHv24NBCw,,,,,,,,,,,,
m0933,Mathematics,9,multiple_choice,medium,Eşlik ve Benzerlik (Congruence & Similarity),https://yadi.sk/i/0iathPecPyWsKg,https://yadi.sk/i/h2zf9jsXv03Eug,B,,,,,,,,,,,
m1001,Mathematics,10,multi_answer,hard,Trigonometri (Trigonometry),https://yadi.sk/i/3OXVk-r-HjW_Bw,https://yadi.sk/i/asm5jA1ETGAEGw,,,,,,,,,,,,
m1003,Mathematics,10,open_ended,hard,Trigonometri (Trigonometry),https://yadi.sk/i/ZS5hdKEkzkkaYg,https://yadi.sk/i/Ajn5B5Zl0PjRhg,,,,,,,,,,,,
m1004,Mathematics,10,multiple_choice,medium,Geometri - Çember (Geometry - Circle),https://yadi.sk/i/i6bY9gkW-cAk1g,https://yadi.sk/i/q_6HJbM3r3M26A,B,,,,,,,,,,,
m1010,Mathematics,10,multi_answer,hard,Sayılar (Numbers),https://yadi.sk/i/9e3YaPAHon-mrQ,https://yadi.sk/i/vSggqRmTzWO5Zg,,,,,,,,,,,,
m1012,Mathematics,10,multiple_choice,medium,Sayılar (Numbers),https://yadi.sk/i/oKuKoD0TDxJuRA,https://yadi.sk/i/Q2-qYUPo0TZ1TQ,D,,,,,,,,,,,
m1015,Mathematics,10,open_ended,medium,Fonksiyonlar (Functions),https://yadi.sk/i/HP4uCnA7nLZIqg,https://yadi.sk/i/v2y5psJFk5jY_Q,,,,,,,,,,,,
m1017,Mathematics,10,open_ended,easy,Fonksiyonlar (Functions),https://yadi.sk/i/QH8gztWHUvB6Tw,https://yadi.sk/i/0OCRmZy-OEBsAw,,,,,,,,,,,,
m1020,Mathematics,10,multi_answer,medium,Kombinatorik (Combinatorics),https://yadi.sk/i/JxN4wNjEjsUsOA,https://yadi.sk/i/Q1AqvXJPBd5Wow,,,,,,,,,,,,
m1023,Mathematics,10,multi_answer,hard,Kombinatorik (Combinatorics),https://yadi.sk/i/8ujx7JhBa_hFkA,https://yadi.sk/i/61vUeYJpIcC7xA,,,,,,,,,,,,
m1025,Mathematics,10,open_ended,medium,Algoritma (Algorithm),https://yadi.sk/i/rGmUOG_-MGbfLw,https://yadi.sk/i/-TfD_I_MEUdUZA,,,,,,,,,,,,
m1031,Mathematics,10,multiple_choice,hard,Olasılık (Probability),https://yadi.sk/i/VwUh8z4lfRSj2Q,https://yadi.sk/i/Ky5-yBjB-a2VzA,E,,,,,,,,,,,
m1032,Mathematics,10,multiple_choice,easy,Analitik Geometri (Analytic Geometry),https://yadi.sk/i/SVXaz3Un9BedOA,https://yadi.sk/i/wxrFDVfeIt4LXA,C,,,,,,,,,,,
m1036,Mathematics,10,multiple_choice,medium,Kombinatorik (Combinatorics),https://yadi.sk/i/8ohw3PqvbnrA3g,https://yadi.sk/i/xsosu-jqKzPyag,C,,,,,,,,,,,
m1038,Mathematics,10,multiple_choice,easy,Parabol (Parabola),https://yadi.sk/i/DtSV_kr-G-H3gQ,https://yadi.sk/i/pM8b-ABcPP_chw,A,,,,,,,,,,,
m1101,Mathematics,11,multi_answer,medium,Fonksiyonlar (Functions),https://yadi.sk/i/iUIKnzXiK6nIfQ,https://yadi.sk/i/qv3m6WCP_zEh_Q,,,,,,,,,,,,
m1103,Mathematics,11,multiple_choice,hard,Trigonometri (Trigonometry),https://yadi.sk/i/Mm5w4Fyr2Su3CA,https://yadi.sk/i/UWGptrrwHTBs5A,E,,,,,,,,,,,
m1105,Mathematics,11,numeric,easy,Analitik Geometri (Analytic Geometry),https://yadi.sk/i/-vnDNKR2-z1ahQ,https://yadi.sk/i/oR2cj_ZrWftYVQ,,,,,,,,,,,,
m1109,Mathematics,11,multi_answer,medium,Fonksiyonlar (Functions),https://yadi.sk/i/U6waH2k8SqwNHw,https://yadi.sk/i/2rcvf73OeqDB_g,,,,,,,,,,,,
m1112,Mathematics,11,multiple_choice,medium,Fonksiyonlar (Functions),https://yadi.sk/i/vnKB9OWzkqg0HA,https://yadi.sk/i/5lB_MpRi7RFAoA,B,,,,,,,,,,,
m1113,Mathematics,11,open_ended,easy,Esitsizlikler (Inequalities),https://yadi.sk/i/vebJtT9LvdbImA,https://yadi.sk/i/BuhT2v-ml3P-IA,,,,,,,,,,,,
m1114,Mathematics,11,open_ended,hard,Esitsizlikler (Inequalities),https://yadi.sk/i/sXYGDB0BHtMY3A,https://yadi.sk/i/-kEcYq-elUDa3w,,,,,,,,,,,,
m1119,Mathematics,11,multiple_choice,hard,Geometri - Cember (Geometry - Circle),https://yadi.sk/i/QYIKzJRfEmAk-Q,https://yadi.sk/i/9VlVukNVBfpJ4w,C,,,,,,,,,,,
m1120,Mathematics,11,multiple_choice,medium,Geometri - Cember (Geometry - Circle),https://yadi.sk/i/KfP3vnF0ZnjC_A,https://yadi.sk/i/nBLv7CiHFaTMgg,A,,,,,,,,,,,
m1122,Mathematics,11,numeric,easy,Geometri - 3 Boyutlu Cisimler (Geometry - 3D Solids),https://yadi.sk/i/j1EjjEMHeiPJbA,https://yadi.sk/i/FHAL5jykH8l-PA,,,,,,,,,,,,
m1127,Mathematics,11,numeric,easy,Olasilik (Probability),https://yadi.sk/i/8rQZ8TWKwSPCyw,https://yadi.sk/i/0Ms0HgeyR1Z8Vg,,,,,,,,,,,,
m1204,Mathematics,12,multiple_choice,medium,Logaritma (Logarithm),https://yadi.sk/i/f8AiM6l9jj5HPg,https://yadi.sk/i/YcDbC45R-OHqbQ,C,,,,,,,,,,,
m1207,Mathematics,12,multi_answer,hard,Diziler (Sequences),https://yadi.sk/i/hH4DmTNeH_jKiQ,https://yadi.sk/i/m6aYZ-EsZvAmyw,,,,,,,,,,,,
m1210,Mathematics,12,multi_answer,medium,Geometrik Seri (Geometric Series),https://yadi.sk/i/zsQQ5VQ5CDXm2A,https://yadi.sk/i/a5f5CrBEqJd2bw,,,,,,,,,,,,
m1211,Mathematics,12,multi_answer,medium,Trigonometri (Trigonometry),https://yadi.sk/i/WXbmMS8Po_NNUA,https://yadi.sk/i/HucHjcPDuyrz4g,,,,,,,,,,,,
m1212,Mathematics,12,multi_answer,hard,Trigonometri (Trigonometry),https://yadi.sk/i/ifH4zNYkbhvW7Q,https://yadi.sk/i/GIaUvhxOY5pu3g,,,,,,,,,,,,
m1216,Mathematics,12,open_ended,medium,Analitik Geometri - Dogru (Analytic Geometry - Line),https://yadi.sk/i/7Hsi9m5r5QDtZg,https://yadi.sk/i/fuZys9LOOzuACA,,,,,,,,,,,,
m1217,Mathematics,12,multiple_choice,easy,Analitik Geometri - Donusum (Analytic Geometry - Transformation),https://yadi.sk/i/MhWuyOg_Ciu6fA,https://yadi.sk/i/ZE1nb9iyh2m5-A,D,,,,,,,,,,,
m1222,Mathematics,12,multiple_choice,medium,Turev (Derivative),https://yadi.sk/i/K6jCMub6N-0zlw,https://yadi.sk/i/ZcH8ieGCgc8A7g,C,,,,,,,,,,,
m1225,Mathematics,12,multiple_choice,easy,Integral - Belirsiz (Indefinite Integral),https://yadi.sk/i/wejShbl4AVq2Fg,https://yadi.sk/i/DzwdrEtMStk_fg,B,,,,,,,,,,,
m1226,Mathematics,12,multiple_choice,hard,Integral - Belirsiz (Indefinite Integral),https://yadi.sk/i/hqJt3-6_ZUCt2Q,https://yadi.sk/i/4nGaM2ZczqZv7w,B,,,,,,,,,,,
m1227,Mathematics,12,open_ended,easy,Analitik Geometri - Cember (Analytic Geometry - Circle),https://yadi.sk/i/QVvA8TofQ_WAnA,https://yadi.sk/i/uRE_0Ien922qDw,,,,,,,,,,,,
m1228,Mathematics,12,open_ended,medium,Analitik Geometri - Cember (Analytic Geometry - Circle),https://yadi.sk/i/_-85B-nICciAhQ,https://yadi.sk/i/NX-JHtn7-6w0Tw,,,,,,,,,,,,
m1229,Mathematics,12,multiple_choice,hard,Analitik Geometri - Cember (Analytic Geometry - Circle),https://yadi.sk/i/rbDqgQ8bZCUypA,https://yadi.sk/i/myBveavJaelIQg,B,,,,,,,,,,,
